,Accession,Description,P-value,Test,Adjusted P-value (BH),"Abundances (Normalized): F1: Sample, Control, 1","Abundances (Normalized): F2: Sample, Control, 2","Abundances (Normalized): F3: Sample, Control, 3","Abundances (Normalized): F4: Sample, Mutant, 1","Abundances (Normalized): F5: Sample, Mutant, 2","Abundances (Normalized): F6: Sample, Mutant, 3",log2(Fold Change),#NAME?
170,Q7ZUY9,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Danio rerio OX=7955 GN=stt3a PE=1 SV=1,0.000511545,t-test,0.001234103,980785.1906,1009251.616,894086.45,450789.1255,436660.0064,379360.4063,-1.186933186,2.908648539
171,A0A8M2BAR0,Glycogen debranching enzyme OS=Danio rerio OX=7955 GN=agla PE=1 SV=1,0.000160116,t-test,0.000509483,1679788.902,1601828.264,1736525.601,702892.202,630554.3,659912.75,-1.331951774,3.292870331
173,F1QYZ6,Pyruvate carboxylase OS=Danio rerio OX=7955 GN=pcxb PE=1 SV=1,2.19E-06,t-test,4.15E-05,3861981.058,3803697.008,3876614.023,1565501.94,1455919.96,1482648.125,-1.357628583,4.382402166
174,Q7T2C2,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Danio rerio OX=7955 GN=acadvl PE=1 SV=1",0.00025314,t-test,0.000729194,2916962.394,2864622.481,2673596.032,1049447.653,1167918.86,1059630,-1.367461485,3.137156653
175,F1R1P2,glucuronosyltransferase OS=Danio rerio OX=7955 GN=ugt1ab PE=1 SV=1,0.000377241,t-test,0.001003814,12073944.12,12840193.01,12119386.19,4654450.393,4916730.901,4691485,-1.376588105,2.998346961
176,Q5BJ17,Elongation factor Tu OS=Danio rerio OX=7955 GN=tufm PE=1 SV=1,0.000411248,t-test,0.001058279,1970398.435,2094529.854,2033072.369,761601.4805,758908.3234,733672.4375,-1.43573215,2.975399885
177,A0A8M1NXI0,Protein disulfide-isomerase OS=Danio rerio OX=7955 GN=pdia3 PE=1 SV=1,0.000117664,t-test,0.00042054,3692798.853,3495162.964,3442222.361,1229619.044,1310980.082,1367499.375,-1.443627858,3.376192193
178,Q7ZVY5,"Citrate synthase, mitochondrial OS=Danio rerio OX=7955 GN=cs PE=2 SV=1",2.29E-06,t-test,4.15E-05,502714.6179,484594.15,488761.6977,174461.2559,170447.3771,188785,-1.46767789,4.382402166
179,A0A8M9QE05,Nicotinamide phosphoribosyltransferase OS=Danio rerio OX=7955 GN=nampt4.1 PE=3 SV=1,1.20E-05,t-test,0.000115361,915831.1207,951191.8138,895511.4979,348765.825,303269.8289,299148.9063,-1.538195244,3.937941852
180,Q6NWJ2,Signal peptidase complex subunit 3 OS=Danio rerio OX=7955 GN=spcs3 PE=1 SV=1,0.000585649,t-test,0.001395434,1952349.544,1972816.84,2142397.137,711398.6554,636212.2684,648731.875,-1.603757835,2.855290585
182,Q6NV32,Prothymosin alpha-A OS=Danio rerio OX=7955 GN=ptmaa PE=2 SV=1,8.17E-05,t-test,0.000346473,6767339.937,6552466.934,6637508.263,2037398.39,2007847.082,2061007.625,-1.708558353,3.460330022
183,A5PLC8,Prothymosin alpha-B OS=Danio rerio OX=7955 GN=ptmab PE=1 SV=1,9.61E-07,t-test,2.65E-05,2031457.759,2063390.753,1990918.875,558809.2609,545005.5714,610731.875,-1.827611985,4.576999497
184,Q6NYD2,Sidoreflexin OS=Danio rerio OX=7955 GN=sfxn2 PE=1 SV=1,0.00981236,t-test,0.014911697,609348.5285,774340.0431,764704.9808,188847.5359,206428.8927,209586.2656,-1.828578708,1.826472928
185,Q6GQN6,"3-ketoacyl-CoA thiolase, peroxisomal OS=Danio rerio OX=7955 GN=acaa1 PE=1 SV=1",0.000137463,t-test,0.000465446,11512337.09,11018601.52,10989386.24,3121437.684,3129678.302,2962949,-1.863126452,3.332130984
186,Q6PHK4,Alanine--glyoxylate aminotransferase OS=Danio rerio OX=7955 GN=agxtb PE=1 SV=1,0.015518707,t-test,0.022186004,10362731.8,8850064.992,7136457.521,1349182.224,1566928.119,1533966.992,-2.565859821,1.653920913
187,Q7ZVG1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Danio rerio OX=7955 GN=acaa2 PE=1 SV=1",3.97E-05,t-test,0.00020289,2763672.767,2657238.157,2640874.519,423518.459,405535.3112,369970.6875,-2.7492383,3.692738411
188,A0A8M1PIL2,Formimidoyltransferase-cyclodeaminase OS=Danio rerio OX=7955 GN=ftcd PE=1 SV=1,0.000177709,t-test,0.000544409,5119688.218,5265655.16,5348524.283,563830.9057,581151.7643,558379,-3.207416658,3.264074992
189,Q504D4,Ela3l protein OS=Danio rerio OX=7955 GN=ela3l PE=1 SV=1,0.000201539,t-test,0.000607765,7589392.625,7333600.416,7663294.527,770302.8262,797499.0739,788432,-3.260892494,3.216264195
190,F1Q713,Sorbitol dehydrogenase OS=Danio rerio OX=7955 GN=sord PE=1 SV=1,3.35E-09,t-test,6.47E-07,26992730.18,26861948.02,26909787.42,2558277.75,2714607.414,2538096.25,-3.370144949,6.189361107
191,Q802Y2,Isocitrate dehydrogenase [NADP] OS=Danio rerio OX=7955 GN=idh1 PE=1 SV=1,1.40E-05,t-test,0.000117682,644990.2303,624010.0487,643053.9291,64106.78068,54511.02355,59345.11719,-3.425474833,3.929289551
192,A0A8M9QDY3,Elastase 3 like isoform X1 OS=Danio rerio OX=7955 GN=ela3l PE=1 SV=1,0.000379681,t-test,0.001003814,649795.321,669675.1445,623729.6235,25229.71451,31084.55487,29050.83008,-4.50864429,2.998346961
